Node Node  Dst
1    23    201
23    24    200
24    28    100
28    29    100
29    36    110
36    35    212
35    34    102
34    33    65
33    41    202
41    38    152
38    39    66
39    40    40
40    12    243
12    11    141
11    10    120
10    9    109
9    8    59
8    7    64
7    6    89
6    5    73
5    4    70
4    3    54
3    2    54
2    1    69
2    22    196
23    22    62
22    21    54
3    21    19
21    20    51
4    20    192
20    19    59
19    18    89
18    17    71
17    16    59
16    15    55
15    14    133
14    13    36
5    19    192
6    18    179
7    17    170
8    16    169
9    15    180
10    14    186
11    13    153
13    42    141
15    28    104
17    21    143
19    26    167
21    25    189
24    25    122
25    26    120
26    42    77
43    28    225
28    42    116
26    27    137
28    27    129
27    32    128
32    42    62
27    30    94
29    30    222
30    35    138
30    31    90
31    32    62
31    34    62
32    33    158
43    37    131
37    41    67
37    39    150
40    43    167
